level,position_pair,side_condition,basin_id,source_state_id,out_degree,total_out_count,dominant_target_state_id,dominant_target_share,transition_entropy,branching_class,target_state_ids,bundle_strings
F_x,,,,S023,2,4,S014,0.5,1.0,strong_branching,S012|S014,all_except_chain_status
F_x,,,,S014,1,24,S010,1.0,0.0,function_like,S010,band+R_before+R_after+chain_status+residue32
F_x,,,,S010,1,24,S032,1.0,0.0,function_like,S032,band+R_before+R_after+residue16+residue32
F_x,,,,S032,1,32,S015,1.0,0.0,function_like,S015,all_except_front
F_x,,,,S018,1,12,S014,1.0,0.0,function_like,S014,band+R_before+R_after
F_x,,,,S026,1,3,S012,1.0,0.0,function_like,S012,all_features
F_x,,,,S012,1,52,S011,1.0,0.0,function_like,S011,all_features
F_x,,,,S011,2,76,S031,0.894737,0.485461,weak_branching,S031|S032,all_except_chain_status
F_x,,,,S031,1,68,S016,1.0,0.0,function_like,S016,all_except_front
F_x,,,,S017,2,52,S012,0.769231,0.77935,weak_branching,S012|S013,band+R_before+R_after+transition_k+residue16+residue32
F_x,,,,S029,2,6,S012,0.5,1.0,strong_branching,S012|S014,all_features
F_x,,,,S021,3,10,S013,0.5,1.485475,strong_branching,S012|S013|S014,all_except_chain_status
F_x,,,,S020,1,1,S012,1.0,0.0,function_like,S012,all_except_chain_status
F_x,,,,S024,1,3,S013,1.0,0.0,function_like,S013,all_features
F_x,,,,S013,1,24,S011,1.0,0.0,function_like,S011,all_features
F_x,,,,S019,2,3,S013,0.666667,0.918296,strong_branching,S013|S014,all_except_chain_status
F_x,,,,S030,1,1,S013,1.0,0.0,function_like,S013,all_features
F_x,,,,S025,1,2,S014,1.0,0.0,function_like,S014,all_features
F_x,,,,S022,1,1,S013,1.0,0.0,function_like,S013,all_features
F_x,,,,S028,1,1,S014,1.0,0.0,function_like,S014,all_features
F_x,,,,S027,1,1,S012,1.0,0.0,function_like,S012,all_features
F_x,,,,S009,1,3,S017,1.0,0.0,function_like,S017,all_except_chain_status
F_x,,,,S008,1,2,S017,1.0,0.0,function_like,S017,all_except_chain_status
F_x,,,,S006,1,3,S017,1.0,0.0,function_like,S017,all_except_chain_status
F_x,,,,S005,1,3,S017,1.0,0.0,function_like,S017,all_except_chain_status
F_x,,,,S004,1,1,S017,1.0,0.0,function_like,S017,all_features
F_x,,,,S007,1,2,S017,1.0,0.0,function_like,S017,all_features
F_x,,,,S003,1,4,S017,1.0,0.0,function_like,S017,all_except_front
F_x,,,,S001,1,1,S021,1.0,0.0,function_like,S021,all_features
F_x,,,,S002,1,1,S021,1.0,0.0,function_like,S021,all_except_chain_status
F_p_x,-4->-3,,,S023,2,4,S014,0.5,1.0,strong_branching,S012|S014,all_except_chain_status
F_p_x,-3->-2,,,S014,1,24,S010,1.0,0.0,function_like,S010,band+R_before+R_after+chain_status+residue32
F_p_x,-2->-1,,,S010,1,24,S032,1.0,0.0,function_like,S032,band+R_before+R_after+residue16+residue32
F_p_x,-1->0,,,S032,1,32,S015,1.0,0.0,function_like,S015,all_except_front
F_p_x,-4->-3,,,S018,1,12,S014,1.0,0.0,function_like,S014,band+R_before+R_after
F_p_x,-4->-3,,,S026,1,3,S012,1.0,0.0,function_like,S012,all_features
F_p_x,-3->-2,,,S012,1,52,S011,1.0,0.0,function_like,S011,all_features
F_p_x,-2->-1,,,S011,2,76,S031,0.894737,0.485461,weak_branching,S031|S032,all_except_chain_status
F_p_x,-1->0,,,S031,1,68,S016,1.0,0.0,function_like,S016,all_except_front
F_p_x,-4->-3,,,S017,2,52,S012,0.769231,0.77935,weak_branching,S012|S013,band+R_before+R_after+transition_k+residue16+residue32
F_p_x,-4->-3,,,S029,2,6,S012,0.5,1.0,strong_branching,S012|S014,all_features
F_p_x,-4->-3,,,S021,3,10,S013,0.5,1.485475,strong_branching,S012|S013|S014,all_except_chain_status
F_p_x,-4->-3,,,S020,1,1,S012,1.0,0.0,function_like,S012,all_except_chain_status
F_p_x,-4->-3,,,S024,1,3,S013,1.0,0.0,function_like,S013,all_features
F_p_x,-3->-2,,,S013,1,24,S011,1.0,0.0,function_like,S011,all_features
F_p_x,-4->-3,,,S019,2,3,S013,0.666667,0.918296,strong_branching,S013|S014,all_except_chain_status
F_p_x,-4->-3,,,S030,1,1,S013,1.0,0.0,function_like,S013,all_features
F_p_x,-4->-3,,,S025,1,2,S014,1.0,0.0,function_like,S014,all_features
F_p_x,-4->-3,,,S022,1,1,S013,1.0,0.0,function_like,S013,all_features
F_p_x,-4->-3,,,S028,1,1,S014,1.0,0.0,function_like,S014,all_features
F_p_x,-4->-3,,,S027,1,1,S012,1.0,0.0,function_like,S012,all_features
F_p_x,-5->-4,,,S009,1,3,S017,1.0,0.0,function_like,S017,all_except_chain_status
F_p_x,-5->-4,,,S008,1,2,S017,1.0,0.0,function_like,S017,all_except_chain_status
F_p_x,-5->-4,,,S006,1,3,S017,1.0,0.0,function_like,S017,all_except_chain_status
F_p_x,-5->-4,,,S005,1,3,S017,1.0,0.0,function_like,S017,all_except_chain_status
F_p_x,-5->-4,,,S004,1,1,S017,1.0,0.0,function_like,S017,all_features
F_p_x,-5->-4,,,S007,1,2,S017,1.0,0.0,function_like,S017,all_features
F_p_x,-5->-4,,,S003,1,4,S017,1.0,0.0,function_like,S017,all_except_front
F_p_x,-5->-4,,,S001,1,1,S021,1.0,0.0,function_like,S021,all_features
F_p_x,-5->-4,,,S002,1,1,S021,1.0,0.0,function_like,S021,all_except_chain_status
F_p_side_x,-4->-3,miss,,S023,2,4,S014,0.5,1.0,strong_branching,S012|S014,all_except_chain_status
F_p_side_x,-3->-2,miss,,S014,1,12,S010,1.0,0.0,function_like,S010,band+R_before+R_after+chain_status+residue32
F_p_side_x,-2->-1,miss,,S010,1,12,S032,1.0,0.0,function_like,S032,band+R_before+R_after+residue16+residue32
F_p_side_x,-1->0,miss,,S032,1,16,S015,1.0,0.0,function_like,S015,all_except_front
F_p_side_x,-4->-3,control,,S018,1,12,S014,1.0,0.0,function_like,S014,band+R_before+R_after
F_p_side_x,-3->-2,control,,S014,1,12,S010,1.0,0.0,function_like,S010,band+R_before+R_after+chain_status+residue32
F_p_side_x,-2->-1,control,,S010,1,12,S032,1.0,0.0,function_like,S032,band+R_before+R_after+residue16+residue32
F_p_side_x,-1->0,control,,S032,1,16,S015,1.0,0.0,function_like,S015,all_except_front
F_p_side_x,-4->-3,miss,,S026,1,3,S012,1.0,0.0,function_like,S012,all_features
F_p_side_x,-3->-2,miss,,S012,1,26,S011,1.0,0.0,function_like,S011,all_features
F_p_side_x,-2->-1,miss,,S011,2,38,S031,0.894737,0.485461,weak_branching,S031|S032,all_except_chain_status
F_p_side_x,-1->0,miss,,S031,1,34,S016,1.0,0.0,function_like,S016,all_except_front
F_p_side_x,-4->-3,control,,S017,2,38,S012,0.684211,0.899744,strong_branching,S012|S013,band+R_before+R_after+transition_k+residue16+residue32
F_p_side_x,-3->-2,control,,S012,1,26,S011,1.0,0.0,function_like,S011,all_features
F_p_side_x,-2->-1,control,,S011,2,38,S031,0.894737,0.485461,weak_branching,S031|S032,all_except_chain_status
F_p_side_x,-1->0,control,,S031,1,34,S016,1.0,0.0,function_like,S016,all_except_front
F_p_side_x,-4->-3,miss,,S029,2,6,S012,0.5,1.0,strong_branching,S012|S014,all_features
F_p_side_x,-4->-3,miss,,S021,3,10,S013,0.5,1.485475,strong_branching,S012|S013|S014,all_except_chain_status
F_p_side_x,-4->-3,miss,,S020,1,1,S012,1.0,0.0,function_like,S012,all_except_chain_status
F_p_side_x,-4->-3,miss,,S024,1,3,S013,1.0,0.0,function_like,S013,all_features
F_p_side_x,-3->-2,miss,,S013,1,12,S011,1.0,0.0,function_like,S011,all_features
F_p_side_x,-3->-2,control,,S013,1,12,S011,1.0,0.0,function_like,S011,all_features
F_p_side_x,-4->-3,miss,,S019,2,3,S013,0.666667,0.918296,strong_branching,S013|S014,all_except_chain_status
F_p_side_x,-4->-3,miss,,S030,1,1,S013,1.0,0.0,function_like,S013,all_features
F_p_side_x,-4->-3,miss,,S025,1,2,S014,1.0,0.0,function_like,S014,all_features
F_p_side_x,-4->-3,miss,,S022,1,1,S013,1.0,0.0,function_like,S013,all_features
F_p_side_x,-4->-3,miss,,S028,1,1,S014,1.0,0.0,function_like,S014,all_features
F_p_side_x,-4->-3,miss,,S027,1,1,S012,1.0,0.0,function_like,S012,all_features
F_p_side_x,-5->-4,miss,,S009,1,3,S017,1.0,0.0,function_like,S017,all_except_chain_status
F_p_side_x,-4->-3,miss,,S017,1,14,S012,1.0,0.0,function_like,S012,band+R_before+R_after+transition_k+residue16+residue32
F_p_side_x,-5->-4,miss,,S008,1,2,S017,1.0,0.0,function_like,S017,all_except_chain_status
F_p_side_x,-5->-4,miss,,S006,1,3,S017,1.0,0.0,function_like,S017,all_except_chain_status
F_p_side_x,-5->-4,miss,,S005,1,3,S017,1.0,0.0,function_like,S017,all_except_chain_status
