position_pair,basin_id,source_state_id,out_degree,total_out_count,dominant_target_state_id,dominant_target_share,transition_entropy,branching_class,miss_count,control_count,mixed_label
-1->0,B001,S031,1,52,S016,1.0,0.0,function_like,26,26,mixed
-1->0,B002,S031,1,16,S016,1.0,0.0,function_like,8,8,mixed
-1->0,B003,S032,1,8,S015,1.0,0.0,function_like,4,4,mixed
-1->0,B004,S032,1,24,S015,1.0,0.0,function_like,12,12,mixed
-2->-1,B001,S011,1,52,S031,1.0,0.0,function_like,26,26,mixed
-2->-1,B002,S011,1,16,S031,1.0,0.0,function_like,8,8,mixed
-2->-1,B003,S011,1,8,S032,1.0,0.0,function_like,4,4,mixed
-2->-1,B004,S010,1,24,S032,1.0,0.0,function_like,12,12,mixed
-3->-2,B001,S012,1,52,S011,1.0,0.0,function_like,26,26,mixed
-3->-2,B002,S013,1,16,S011,1.0,0.0,function_like,8,8,mixed
-3->-2,B003,S013,1,8,S011,1.0,0.0,function_like,4,4,mixed
-3->-2,B004,S014,1,24,S010,1.0,0.0,function_like,12,12,mixed
-4->-3,B001,S017,1,40,S012,1.0,0.0,function_like,14,26,mixed
-4->-3,B001,S020,1,1,S012,1.0,0.0,function_like,1,0,miss_only
-4->-3,B001,S021,1,2,S012,1.0,0.0,function_like,2,0,miss_only
-4->-3,B001,S023,1,2,S012,1.0,0.0,function_like,2,0,miss_only
-4->-3,B001,S026,1,3,S012,1.0,0.0,function_like,3,0,miss_only
-4->-3,B001,S027,1,1,S012,1.0,0.0,function_like,1,0,miss_only
-4->-3,B001,S029,1,3,S012,1.0,0.0,function_like,3,0,miss_only
-4->-3,B002,S017,1,8,S013,1.0,0.0,function_like,0,8,control_only
-4->-3,B002,S019,1,2,S013,1.0,0.0,function_like,2,0,miss_only
-4->-3,B002,S021,1,1,S013,1.0,0.0,function_like,1,0,miss_only
-4->-3,B002,S022,1,1,S013,1.0,0.0,function_like,1,0,miss_only
-4->-3,B002,S024,1,3,S013,1.0,0.0,function_like,3,0,miss_only
-4->-3,B002,S030,1,1,S013,1.0,0.0,function_like,1,0,miss_only
-4->-3,B003,S017,1,4,S013,1.0,0.0,function_like,0,4,control_only
-4->-3,B003,S021,1,4,S013,1.0,0.0,function_like,4,0,miss_only
-4->-3,B004,S018,1,12,S014,1.0,0.0,function_like,0,12,control_only
-4->-3,B004,S019,1,1,S014,1.0,0.0,function_like,1,0,miss_only
-4->-3,B004,S021,1,3,S014,1.0,0.0,function_like,3,0,miss_only
-4->-3,B004,S023,1,2,S014,1.0,0.0,function_like,2,0,miss_only
-4->-3,B004,S025,1,2,S014,1.0,0.0,function_like,2,0,miss_only
-4->-3,B004,S028,1,1,S014,1.0,0.0,function_like,1,0,miss_only
-4->-3,B004,S029,1,3,S014,1.0,0.0,function_like,3,0,miss_only
-5->-4,B001,S000,7,38,S017,0.684211,1.676317,strong_branching,12,26,mixed
-5->-4,B001,S004,1,1,S017,1.0,0.0,function_like,1,0,miss_only
-5->-4,B001,S005,1,3,S017,1.0,0.0,function_like,3,0,miss_only
-5->-4,B001,S006,1,3,S017,1.0,0.0,function_like,3,0,miss_only
-5->-4,B001,S007,1,2,S017,1.0,0.0,function_like,2,0,miss_only
-5->-4,B001,S008,1,2,S017,1.0,0.0,function_like,2,0,miss_only
-5->-4,B001,S009,1,3,S017,1.0,0.0,function_like,3,0,miss_only
-5->-4,B002,S000,6,16,S017,0.5,2.07782,strong_branching,8,8,mixed
-5->-4,B003,S000,1,3,S021,1.0,0.0,function_like,3,0,miss_only
-5->-4,B003,S001,1,1,S021,1.0,0.0,function_like,1,0,miss_only
-5->-4,B003,S003,1,4,S017,1.0,0.0,function_like,0,4,control_only
-5->-4,B004,S000,7,23,S018,0.521739,2.185543,strong_branching,11,12,mixed
-5->-4,B004,S002,1,1,S021,1.0,0.0,function_like,1,0,miss_only
