position_pair,source_position,target_position,source_state_id,target_state_id,count,probability_from_source_within_position,basin_id,side,miss_count,control_count,mixed_label,source_band,target_band,source_R_face,target_R_face,source_front,target_front,source_chain_status,target_chain_status,source_transition_k,target_transition_k,source_residue32,target_residue32,bundle_string,delta_pattern,source_face,target_face,example_trajectory_ids
-1->0,-1,0,S031,S016,52,1.0,B001,mixed,26,26,mixed,8-15,4-7,9->4,4->0,lower_edge_front,lower_edge_front,avoid,caught,5,4,9->4,4->0,all_except_front,band:8-15->4-7|R_before:9->4|R_after:4->0|transition_k:5->4|exit_distance:1->0|front:lower_edge_front->lower_edge_front|chain_status:avoid->caught|residue16:9->4->4->0|residue32:9->4->4->0,8-15|R:9->4|k:5|d:1|lower_edge_front|avoid|r32:9->4,4-7|R:4->0|k:4|d:0|lower_edge_front|caught|r32:4->0,miss:2289|control:4551|miss:4578|control:4551|miss:4579|control:4551|miss:5152|control:4551|miss:50031|control:4551
-1->0,-1,0,S031,S016,16,1.0,B002,mixed,8,8,mixed,8-15,4-7,9->4,4->0,lower_edge_front,lower_edge_front,avoid,caught,5,4,9->4,4->0,all_except_front,band:8-15->4-7|R_before:9->4|R_after:4->0|transition_k:5->4|exit_distance:1->0|front:lower_edge_front->lower_edge_front|chain_status:avoid->caught|residue16:9->4->4->0|residue32:9->4->4->0,8-15|R:9->4|k:5|d:1|lower_edge_front|avoid|r32:9->4,4-7|R:4->0|k:4|d:0|lower_edge_front|caught|r32:4->0,miss:50114|control:555169|miss:50115|control:555169|miss:50130|control:555169|miss:50131|control:555169|miss:50139|control:555169
-1->0,-1,0,S032,S015,8,1.0,B003,mixed,4,4,mixed,8-15,4-7,9->7,4->0,lower_edge_front,lower_edge_front,avoid,avoid_then_caught,2,4,9->7,4->0,all_except_front,band:8-15->4-7|R_before:9->4|R_after:7->0|transition_k:2->4|exit_distance:1->0|front:lower_edge_front->lower_edge_front|chain_status:avoid->avoid_then_caught|residue16:9->7->4->0|residue32:9->7->4->0,8-15|R:9->7|k:2|d:1|lower_edge_front|avoid|r32:9->7,4-7|R:4->0|k:4|d:0|lower_edge_front|avoid_then_caught|r32:4->0,miss:93260|control:50331|miss:373032|control:50331|miss:805887|control:50331|miss:981221|control:50331
-1->0,-1,0,S032,S015,24,1.0,B004,mixed,12,12,mixed,8-15,4-7,9->7,4->0,lower_edge_front,lower_edge_front,avoid,avoid_then_caught,2,4,9->7,4->0,all_except_front,band:8-15->4-7|R_before:9->4|R_after:7->0|transition_k:2->4|exit_distance:1->0|front:lower_edge_front->lower_edge_front|chain_status:avoid->avoid_then_caught|residue16:9->7->4->0|residue32:9->7->4->0,8-15|R:9->7|k:2|d:1|lower_edge_front|avoid|r32:9->7,4-7|R:4->0|k:4|d:0|lower_edge_front|avoid_then_caught|r32:4->0,miss:50296|control:618657|miss:50298|control:618657|miss:4771|control:618657|miss:50270|control:618657|miss:50271|control:618657
-2->-1,-2,-1,S011,S031,52,1.0,B001,mixed,26,26,mixed,16-31,8-15,18->14,9->4,near_exit_front,lower_edge_front,avoid,avoid,4,5,18->14,9->4,all_except_chain_status,band:16-31->8-15|R_before:18->9|R_after:14->4|transition_k:4->5|exit_distance:2->1|front:near_exit_front->lower_edge_front|chain_status:avoid->avoid|residue16:2->14->9->4|residue32:18->14->9->4,16-31|R:18->14|k:4|d:2|near_exit_front|avoid|r32:18->14,8-15|R:9->4|k:5|d:1|lower_edge_front|avoid|r32:9->4,miss:2289|control:4551|miss:4578|control:4551|miss:4579|control:4551|miss:5152|control:4551|miss:50031|control:4551
-2->-1,-2,-1,S011,S031,16,1.0,B002,mixed,8,8,mixed,16-31,8-15,18->14,9->4,near_exit_front,lower_edge_front,avoid,avoid,4,5,18->14,9->4,all_except_chain_status,band:16-31->8-15|R_before:18->9|R_after:14->4|transition_k:4->5|exit_distance:2->1|front:near_exit_front->lower_edge_front|chain_status:avoid->avoid|residue16:2->14->9->4|residue32:18->14->9->4,16-31|R:18->14|k:4|d:2|near_exit_front|avoid|r32:18->14,8-15|R:9->4|k:5|d:1|lower_edge_front|avoid|r32:9->4,miss:50114|control:555169|miss:50115|control:555169|miss:50130|control:555169|miss:50131|control:555169|miss:50139|control:555169
-2->-1,-2,-1,S011,S032,8,1.0,B003,mixed,4,4,mixed,16-31,8-15,18->14,9->7,near_exit_front,lower_edge_front,avoid,avoid,4,2,18->14,9->7,all_except_chain_status,band:16-31->8-15|R_before:18->9|R_after:14->7|transition_k:4->2|exit_distance:2->1|front:near_exit_front->lower_edge_front|chain_status:avoid->avoid|residue16:2->14->9->7|residue32:18->14->9->7,16-31|R:18->14|k:4|d:2|near_exit_front|avoid|r32:18->14,8-15|R:9->7|k:2|d:1|lower_edge_front|avoid|r32:9->7,miss:93260|control:50331|miss:373032|control:50331|miss:805887|control:50331|miss:981221|control:50331
-2->-1,-2,-1,S010,S032,24,1.0,B004,mixed,12,12,mixed,16-31,8-15,17->15,9->7,lower_edge_front,lower_edge_front,avoid,avoid,2,2,17->15,9->7,band+R_before+R_after+residue16+residue32,band:16-31->8-15|R_before:17->9|R_after:15->7|transition_k:2->2|exit_distance:1->1|front:lower_edge_front->lower_edge_front|chain_status:avoid->avoid|residue16:1->15->9->7|residue32:17->15->9->7,16-31|R:17->15|k:2|d:1|lower_edge_front|avoid|r32:17->15,8-15|R:9->7|k:2|d:1|lower_edge_front|avoid|r32:9->7,miss:50296|control:618657|miss:50298|control:618657|miss:4771|control:618657|miss:50270|control:618657|miss:50271|control:618657
-3->-2,-3,-2,S012,S011,52,1.0,B001,mixed,26,26,mixed,32-63,16-31,32->29,18->14,lower_edge_front,near_exit_front,avoid_then_caught,avoid,3,4,0->29,18->14,all_features,band:32-63->16-31|R_before:32->18|R_after:29->14|transition_k:3->4|exit_distance:0->2|front:lower_edge_front->near_exit_front|chain_status:avoid_then_caught->avoid|residue16:0->13->2->14|residue32:0->29->18->14,32-63|R:32->29|k:3|d:0|lower_edge_front|avoid_then_caught|r32:0->29,16-31|R:18->14|k:4|d:2|near_exit_front|avoid|r32:18->14,miss:2289|control:4551|miss:4578|control:4551|miss:4579|control:4551|miss:5152|control:4551|miss:50031|control:4551
-3->-2,-3,-2,S013,S011,16,1.0,B002,mixed,8,8,mixed,32-63,16-31,32->30,18->14,lower_edge_front,near_exit_front,avoid_then_caught,avoid,2,4,0->30,18->14,all_features,band:32-63->16-31|R_before:32->18|R_after:30->14|transition_k:2->4|exit_distance:0->2|front:lower_edge_front->near_exit_front|chain_status:avoid_then_caught->avoid|residue16:0->14->2->14|residue32:0->30->18->14,32-63|R:32->30|k:2|d:0|lower_edge_front|avoid_then_caught|r32:0->30,16-31|R:18->14|k:4|d:2|near_exit_front|avoid|r32:18->14,miss:50114|control:555169|miss:50115|control:555169|miss:50130|control:555169|miss:50131|control:555169|miss:50139|control:555169
