pair_id,miss_sample_id,miss_trajectory_id,control_sample_id,control_trajectory_id,source_reconvergence_state,source_minus4_split_type,miss_state_word_-5_0,control_state_word_-5_0,miss_state_-5,miss_state_-4,miss_state_-3,miss_state_-2,miss_state_-1,miss_state_0,control_state_-5,control_state_-4,control_state_-3,control_state_-2,control_state_-1,control_state_0,terminal_suffix_basin_word,collapse_class
TW0068,Sample_C_higher_range_550,50296,Sample_E_stratified_550,618657,split_at_-4_then_reconverge,複数同時に違う,S000 S023 S014 S010 S032 S015,S000 S018 S014 S010 S032 S015,S000,S023,S014,S010,S032,S015,S000,S018,S014,S010,S032,S015,S014 S010 S032 S015,A_one_step_collapse
TW0069,Sample_C_higher_range_550,50298,Sample_E_stratified_550,618657,split_at_-4_then_reconverge,複数同時に違う,S000 S023 S014 S010 S032 S015,S000 S018 S014 S010 S032 S015,S000,S023,S014,S010,S032,S015,S000,S018,S014,S010,S032,S015,S014 S010 S032 S015,A_one_step_collapse
TW0048,Sample_A_baseline,2289,Sample_A_baseline,4551,split_at_-4_then_reconverge,複数同時に違う,S000 S026 S012 S011 S031 S016,S000 S017 S012 S011 S031 S016,S000,S026,S012,S011,S031,S016,S000,S017,S012,S011,S031,S016,S012 S011 S031 S016,A_one_step_collapse
TW0049,Sample_A_baseline,4578,Sample_A_baseline,4551,split_at_-4_then_reconverge,複数同時に違う,S000 S026 S012 S011 S031 S016,S000 S017 S012 S011 S031 S016,S000,S026,S012,S011,S031,S016,S000,S017,S012,S011,S031,S016,S012 S011 S031 S016,A_one_step_collapse
TW0050,Sample_A_baseline,4579,Sample_A_baseline,4551,split_at_-4_then_reconverge,複数同時に違う,S000 S029 S012 S011 S031 S016,S000 S017 S012 S011 S031 S016,S000,S029,S012,S011,S031,S016,S000,S017,S012,S011,S031,S016,S012 S011 S031 S016,A_one_step_collapse
TW0052,Sample_B_next_range_550,5152,Sample_A_baseline,4551,split_at_-4_then_reconverge,複数同時に違う,S000 S026 S012 S011 S031 S016,S000 S017 S012 S011 S031 S016,S000,S026,S012,S011,S031,S016,S000,S017,S012,S011,S031,S016,S012 S011 S031 S016,A_one_step_collapse
TW0054,Sample_C_higher_range_550,50031,Sample_A_baseline,4551,split_at_-4_then_reconverge,複数同時に違う,S000 S023 S012 S011 S031 S016,S000 S017 S012 S011 S031 S016,S000,S023,S012,S011,S031,S016,S000,S017,S012,S011,S031,S016,S012 S011 S031 S016,A_one_step_collapse
TW0083,Sample_D_random_550,588592,Sample_A_baseline,4551,split_at_-4_then_reconverge,複数同時に違う,S000 S029 S012 S011 S031 S016,S000 S017 S012 S011 S031 S016,S000,S029,S012,S011,S031,S016,S000,S017,S012,S011,S031,S016,S012 S011 S031 S016,A_one_step_collapse
TW0095,Sample_E_stratified_550,61239,Sample_A_baseline,4551,split_at_-4_then_reconverge,複数同時に違う,S000 S029 S012 S011 S031 S016,S000 S017 S012 S011 S031 S016,S000,S029,S012,S011,S031,S016,S000,S017,S012,S011,S031,S016,S012 S011 S031 S016,A_one_step_collapse
TW0106,Sample_E_stratified_550,763681,Sample_A_baseline,4551,split_at_-4_then_reconverge,複数同時に違う,S000 S023 S012 S011 S031 S016,S000 S017 S012 S011 S031 S016,S000,S023,S012,S011,S031,S016,S000,S017,S012,S011,S031,S016,S012 S011 S031 S016,A_one_step_collapse
TW0051,Sample_B_next_range_550,4771,Sample_E_stratified_550,618657,split_at_-4_then_reconverge,複数同時に違う,S000 S021 S014 S010 S032 S015,S000 S018 S014 S010 S032 S015,S000,S021,S014,S010,S032,S015,S000,S018,S014,S010,S032,S015,S014 S010 S032 S015,A_one_step_collapse
TW0053,Sample_B_next_range_550,5162,Sample_A_baseline,4551,split_at_-4_then_reconverge,複数同時に違う,S000 S020 S012 S011 S031 S016,S000 S017 S012 S011 S031 S016,S000,S020,S012,S011,S031,S016,S000,S017,S012,S011,S031,S016,S012 S011 S031 S016,A_one_step_collapse
TW0057,Sample_C_higher_range_550,50114,Sample_D_random_550,555169,split_at_-4_then_reconverge,複数同時に違う,S000 S024 S013 S011 S031 S016,S000 S017 S013 S011 S031 S016,S000,S024,S013,S011,S031,S016,S000,S017,S013,S011,S031,S016,S013 S011 S031 S016,A_one_step_collapse
TW0058,Sample_C_higher_range_550,50115,Sample_D_random_550,555169,split_at_-4_then_reconverge,複数同時に違う,S000 S024 S013 S011 S031 S016,S000 S017 S013 S011 S031 S016,S000,S024,S013,S011,S031,S016,S000,S017,S013,S011,S031,S016,S013 S011 S031 S016,A_one_step_collapse
TW0059,Sample_C_higher_range_550,50130,Sample_D_random_550,555169,split_at_-4_then_reconverge,複数同時に違う,S000 S019 S013 S011 S031 S016,S000 S017 S013 S011 S031 S016,S000,S019,S013,S011,S031,S016,S000,S017,S013,S011,S031,S016,S013 S011 S031 S016,A_one_step_collapse
TW0060,Sample_C_higher_range_550,50131,Sample_D_random_550,555169,split_at_-4_then_reconverge,複数同時に違う,S000 S019 S013 S011 S031 S016,S000 S017 S013 S011 S031 S016,S000,S019,S013,S011,S031,S016,S000,S017,S013,S011,S031,S016,S013 S011 S031 S016,A_one_step_collapse
