source_state_id,out_degree,total_out_count,dominant_target_state_id,dominant_target_share,transition_entropy,miss_share,control_share,branching_class
band=128-255|R=128->127|front=lower_edge_front|chain=caught|k=1|res32=0->31,1,1,band=64-127|R=67->62|front=near_exit_front|chain=avoid_then_caught|k=5|res32=3->30,1.0,0.0,1.0,0.0,deterministic_like
band=128-255|R=129->127|front=lower_edge_front|chain=avoid_then_caught|k=2|res32=1->31,1,1,band=64-127|R=67->62|front=near_exit_front|chain=avoid_then_caught|k=5|res32=3->30,1.0,0.0,1.0,0.0,deterministic_like
band=128-255|R=129->127|front=lower_edge_front|chain=caught|k=2|res32=1->31,1,4,band=64-127|R=64->63|front=lower_edge_front|chain=avoid_then_caught|k=1|res32=0->31,1.0,0.0,0.0,1.0,deterministic_like
band=128-255|R=131->125|front=near_exit_front|chain=caught|k=6|res32=3->29,1,1,band=64-127|R=64->63|front=lower_edge_front|chain=avoid_then_caught|k=1|res32=0->31,1.0,0.0,1.0,0.0,deterministic_like
band=128-255|R=131->126|front=near_exit_front|chain=avoid_then_caught|k=5|res32=3->30,1,3,band=64-127|R=64->63|front=lower_edge_front|chain=avoid_then_caught|k=1|res32=0->31,1.0,0.0,1.0,0.0,deterministic_like
band=128-255|R=131->127|front=near_exit_front|chain=avoid_then_caught|k=4|res32=3->31,1,3,band=64-127|R=64->63|front=lower_edge_front|chain=avoid_then_caught|k=1|res32=0->31,1.0,0.0,1.0,0.0,deterministic_like
band=128-255|R=131->127|front=near_exit_front|chain=caught|k=4|res32=3->31,1,2,band=64-127|R=64->63|front=lower_edge_front|chain=avoid_then_caught|k=1|res32=0->31,1.0,0.0,1.0,0.0,deterministic_like
band=128-255|R=132->126|front=near_exit_front|chain=avoid_then_caught|k=6|res32=4->30,1,2,band=64-127|R=64->63|front=lower_edge_front|chain=avoid_then_caught|k=1|res32=0->31,1.0,0.0,1.0,0.0,deterministic_like
band=128-255|R=133->127|front=near_exit_front|chain=avoid_then_caught|k=6|res32=5->31,1,3,band=64-127|R=64->63|front=lower_edge_front|chain=avoid_then_caught|k=1|res32=0->31,1.0,0.0,1.0,0.0,deterministic_like
band=16-31|R=17->15|front=lower_edge_front|chain=avoid|k=2|res32=17->15,1,24,band=8-15|R=9->7|front=lower_edge_front|chain=avoid|k=2|res32=9->7,1.0,0.0,0.5,0.5,deterministic_like
band=16-31|R=18->14|front=near_exit_front|chain=avoid|k=4|res32=18->14,2,76,band=8-15|R=9->4|front=lower_edge_front|chain=avoid|k=5|res32=9->4,0.894737,0.485461,0.5,0.5,weak_branching
band=32-63|R=32->29|front=lower_edge_front|chain=avoid_then_caught|k=3|res32=0->29,1,52,band=16-31|R=18->14|front=near_exit_front|chain=avoid|k=4|res32=18->14,1.0,0.0,0.5,0.5,deterministic_like
band=32-63|R=32->30|front=lower_edge_front|chain=avoid_then_caught|k=2|res32=0->30,1,24,band=16-31|R=18->14|front=near_exit_front|chain=avoid|k=4|res32=18->14,1.0,0.0,0.5,0.5,deterministic_like
band=32-63|R=33->31|front=lower_edge_front|chain=avoid_then_caught|k=2|res32=1->31,1,24,band=16-31|R=17->15|front=lower_edge_front|chain=avoid|k=2|res32=17->15,1.0,0.0,0.5,0.5,deterministic_like
band=64-127|R=64->63|front=lower_edge_front|chain=avoid_then_caught|k=1|res32=0->31,2,52,band=32-63|R=32->29|front=lower_edge_front|chain=avoid_then_caught|k=3|res32=0->29,0.769231,0.77935,0.269231,0.730769,weak_branching
band=64-127|R=65->63|front=lower_edge_front|chain=avoid_then_caught|k=2|res32=1->31,1,12,band=32-63|R=33->31|front=lower_edge_front|chain=avoid_then_caught|k=2|res32=1->31,1.0,0.0,0.0,1.0,deterministic_like
band=64-127|R=67->60|front=near_exit_front|chain=avoid_then_caught|k=7|res32=3->28,2,3,band=32-63|R=32->30|front=lower_edge_front|chain=avoid_then_caught|k=2|res32=0->30,0.666667,0.918296,1.0,0.0,branching
band=64-127|R=67->61|front=near_exit_front|chain=avoid_then_caught|k=6|res32=3->29,1,1,band=32-63|R=32->29|front=lower_edge_front|chain=avoid_then_caught|k=3|res32=0->29,1.0,0.0,1.0,0.0,deterministic_like
band=64-127|R=67->62|front=near_exit_front|chain=avoid_then_caught|k=5|res32=3->30,3,10,band=32-63|R=32->30|front=lower_edge_front|chain=avoid_then_caught|k=2|res32=0->30,0.5,1.485475,1.0,0.0,branching
band=64-127|R=67->62|front=near_exit_front|chain=caught|k=5|res32=3->30,1,1,band=32-63|R=32->30|front=lower_edge_front|chain=avoid_then_caught|k=2|res32=0->30,1.0,0.0,1.0,0.0,deterministic_like
band=64-127|R=67->63|front=near_exit_front|chain=avoid_then_caught|k=4|res32=3->31,2,4,band=32-63|R=32->29|front=lower_edge_front|chain=avoid_then_caught|k=3|res32=0->29,0.5,1.0,1.0,0.0,branching
band=64-127|R=68->61|front=near_exit_front|chain=avoid|k=7|res32=4->29,1,3,band=32-63|R=32->30|front=lower_edge_front|chain=avoid_then_caught|k=2|res32=0->30,1.0,0.0,1.0,0.0,deterministic_like
band=64-127|R=68->62|front=near_exit_front|chain=avoid|k=6|res32=4->30,1,2,band=32-63|R=33->31|front=lower_edge_front|chain=avoid_then_caught|k=2|res32=1->31,1.0,0.0,1.0,0.0,deterministic_like
band=64-127|R=68->63|front=near_exit_front|chain=avoid|k=5|res32=4->31,1,3,band=32-63|R=32->29|front=lower_edge_front|chain=avoid_then_caught|k=3|res32=0->29,1.0,0.0,1.0,0.0,deterministic_like
band=64-127|R=69->61|front=near_exit_front|chain=avoid|k=8|res32=5->29,1,1,band=32-63|R=32->29|front=lower_edge_front|chain=avoid_then_caught|k=3|res32=0->29,1.0,0.0,1.0,0.0,deterministic_like
band=64-127|R=69->62|front=near_exit_front|chain=avoid|k=7|res32=5->30,1,1,band=32-63|R=33->31|front=lower_edge_front|chain=avoid_then_caught|k=2|res32=1->31,1.0,0.0,1.0,0.0,deterministic_like
band=64-127|R=70->63|front=near_exit_front|chain=avoid|k=7|res32=6->31,2,6,band=32-63|R=32->29|front=lower_edge_front|chain=avoid_then_caught|k=3|res32=0->29,0.5,1.0,1.0,0.0,branching
band=64-127|R=71->62|front=near_exit_front|chain=avoid|k=9|res32=7->30,1,1,band=32-63|R=32->30|front=lower_edge_front|chain=avoid_then_caught|k=2|res32=0->30,1.0,0.0,1.0,0.0,deterministic_like
band=8-15|R=9->4|front=lower_edge_front|chain=avoid|k=5|res32=9->4,1,68,band=4-7|R=4->0|front=lower_edge_front|chain=caught|k=4|res32=4->0,1.0,0.0,0.5,0.5,deterministic_like
band=8-15|R=9->7|front=lower_edge_front|chain=avoid|k=2|res32=9->7,1,32,band=4-7|R=4->0|front=lower_edge_front|chain=avoid_then_caught|k=4|res32=4->0,1.0,0.0,0.5,0.5,deterministic_like
