transition_id,source_state_id,target_state_id,band_changed,remaining_K_before_changed,remaining_K_after_changed,transition_k_changed,exit_distance_changed,front_changed,residue16_changed,residue32_changed,chain_status_changed,changed_feature_count,bundle_string,count,delta_pattern,source_face,target_face
T0001,band=16-31|R=18->14|front=near_exit_front|chain=avoid|k=4|res32=18->14,band=8-15|R=9->4|front=lower_edge_front|chain=avoid|k=5|res32=9->4,1,1,1,1,1,1,1,1,0,8,all_except_chain_status,68,band:16-31->8-15|R_before:-9|R_after:-10|transition_k:1|exit_distance:-1|front:near_exit_front->lower_edge_front|chain_status:same|residue16:2->14->9->4|residue32:18->14->9->4,16-31|R:18->14|k:4|d:2|near_exit_front|avoid|r16:2->14|r32:18->14,8-15|R:9->4|k:5|d:1|lower_edge_front|avoid|r16:9->4|r32:9->4
T0002,band=8-15|R=9->4|front=lower_edge_front|chain=avoid|k=5|res32=9->4,band=4-7|R=4->0|front=lower_edge_front|chain=caught|k=4|res32=4->0,1,1,1,1,1,0,1,1,1,8,all_except_front,68,band:8-15->4-7|R_before:-5|R_after:-4|transition_k:-1|exit_distance:-1|front:same|chain_status:avoid->caught|residue16:9->4->4->0|residue32:9->4->4->0,8-15|R:9->4|k:5|d:1|lower_edge_front|avoid|r16:9->4|r32:9->4,4-7|R:4->0|k:4|d:0|lower_edge_front|caught|r16:4->0|r32:4->0
T0003,band=32-63|R=32->29|front=lower_edge_front|chain=avoid_then_caught|k=3|res32=0->29,band=16-31|R=18->14|front=near_exit_front|chain=avoid|k=4|res32=18->14,1,1,1,1,1,1,1,1,1,9,all_features,52,band:32-63->16-31|R_before:-14|R_after:-15|transition_k:1|exit_distance:2|front:lower_edge_front->near_exit_front|chain_status:avoid_then_caught->avoid|residue16:0->13->2->14|residue32:0->29->18->14,32-63|R:32->29|k:3|d:0|lower_edge_front|avoid_then_caught|r16:0->13|r32:0->29,16-31|R:18->14|k:4|d:2|near_exit_front|avoid|r16:2->14|r32:18->14
T0004,band=64-127|R=64->63|front=lower_edge_front|chain=avoid_then_caught|k=1|res32=0->31,band=32-63|R=32->29|front=lower_edge_front|chain=avoid_then_caught|k=3|res32=0->29,1,1,1,1,0,0,1,1,0,6,band+R_before+R_after+transition_k+residue16+residue32,40,band:64-127->32-63|R_before:-32|R_after:-34|transition_k:2|exit_distance:0|front:same|chain_status:same|residue16:0->15->0->13|residue32:0->31->0->29,64-127|R:64->63|k:1|d:0|lower_edge_front|avoid_then_caught|r16:0->15|r32:0->31,32-63|R:32->29|k:3|d:0|lower_edge_front|avoid_then_caught|r16:0->13|r32:0->29
T0005,band=8-15|R=9->7|front=lower_edge_front|chain=avoid|k=2|res32=9->7,band=4-7|R=4->0|front=lower_edge_front|chain=avoid_then_caught|k=4|res32=4->0,1,1,1,1,1,0,1,1,1,8,all_except_front,32,band:8-15->4-7|R_before:-5|R_after:-7|transition_k:2|exit_distance:-1|front:same|chain_status:avoid->avoid_then_caught|residue16:9->7->4->0|residue32:9->7->4->0,8-15|R:9->7|k:2|d:1|lower_edge_front|avoid|r16:9->7|r32:9->7,4-7|R:4->0|k:4|d:0|lower_edge_front|avoid_then_caught|r16:4->0|r32:4->0
T0006,band=16-31|R=17->15|front=lower_edge_front|chain=avoid|k=2|res32=17->15,band=8-15|R=9->7|front=lower_edge_front|chain=avoid|k=2|res32=9->7,1,1,1,0,0,0,1,1,0,5,band+R_before+R_after+residue16+residue32,24,band:16-31->8-15|R_before:-8|R_after:-8|transition_k:0|exit_distance:0|front:same|chain_status:same|residue16:1->15->9->7|residue32:17->15->9->7,16-31|R:17->15|k:2|d:1|lower_edge_front|avoid|r16:1->15|r32:17->15,8-15|R:9->7|k:2|d:1|lower_edge_front|avoid|r16:9->7|r32:9->7
T0007,band=32-63|R=32->30|front=lower_edge_front|chain=avoid_then_caught|k=2|res32=0->30,band=16-31|R=18->14|front=near_exit_front|chain=avoid|k=4|res32=18->14,1,1,1,1,1,1,1,1,1,9,all_features,24,band:32-63->16-31|R_before:-14|R_after:-16|transition_k:2|exit_distance:2|front:lower_edge_front->near_exit_front|chain_status:avoid_then_caught->avoid|residue16:0->14->2->14|residue32:0->30->18->14,32-63|R:32->30|k:2|d:0|lower_edge_front|avoid_then_caught|r16:0->14|r32:0->30,16-31|R:18->14|k:4|d:2|near_exit_front|avoid|r16:2->14|r32:18->14
T0008,band=32-63|R=33->31|front=lower_edge_front|chain=avoid_then_caught|k=2|res32=1->31,band=16-31|R=17->15|front=lower_edge_front|chain=avoid|k=2|res32=17->15,1,1,1,0,0,0,0,1,1,5,band+R_before+R_after+chain_status+residue32,24,band:32-63->16-31|R_before:-16|R_after:-16|transition_k:0|exit_distance:0|front:same|chain_status:avoid_then_caught->avoid|residue16:same|residue32:1->31->17->15,32-63|R:33->31|k:2|d:1|lower_edge_front|avoid_then_caught|r16:1->15|r32:1->31,16-31|R:17->15|k:2|d:1|lower_edge_front|avoid|r16:1->15|r32:17->15
T0009,band=64-127|R=64->63|front=lower_edge_front|chain=avoid_then_caught|k=1|res32=0->31,band=32-63|R=32->30|front=lower_edge_front|chain=avoid_then_caught|k=2|res32=0->30,1,1,1,1,0,0,1,1,0,6,band+R_before+R_after+transition_k+residue16+residue32,12,band:64-127->32-63|R_before:-32|R_after:-33|transition_k:1|exit_distance:0|front:same|chain_status:same|residue16:0->15->0->14|residue32:0->31->0->30,64-127|R:64->63|k:1|d:0|lower_edge_front|avoid_then_caught|r16:0->15|r32:0->31,32-63|R:32->30|k:2|d:0|lower_edge_front|avoid_then_caught|r16:0->14|r32:0->30
T0010,band=64-127|R=65->63|front=lower_edge_front|chain=avoid_then_caught|k=2|res32=1->31,band=32-63|R=33->31|front=lower_edge_front|chain=avoid_then_caught|k=2|res32=1->31,1,1,1,0,0,0,0,0,0,3,band+R_before+R_after,12,band:64-127->32-63|R_before:-32|R_after:-32|transition_k:0|exit_distance:0|front:same|chain_status:same|residue16:same|residue32:same,64-127|R:65->63|k:2|d:1|lower_edge_front|avoid_then_caught|r16:1->15|r32:1->31,32-63|R:33->31|k:2|d:1|lower_edge_front|avoid_then_caught|r16:1->15|r32:1->31
T0011,band=16-31|R=18->14|front=near_exit_front|chain=avoid|k=4|res32=18->14,band=8-15|R=9->7|front=lower_edge_front|chain=avoid|k=2|res32=9->7,1,1,1,1,1,1,1,1,0,8,all_except_chain_status,8,band:16-31->8-15|R_before:-9|R_after:-7|transition_k:-2|exit_distance:-1|front:near_exit_front->lower_edge_front|chain_status:same|residue16:2->14->9->7|residue32:18->14->9->7,16-31|R:18->14|k:4|d:2|near_exit_front|avoid|r16:2->14|r32:18->14,8-15|R:9->7|k:2|d:1|lower_edge_front|avoid|r16:9->7|r32:9->7
