state_id,band,remaining_K_bin,boundary_front,chain_status,local_event_class,transition_k_class,residue16,residue32,count,miss_count,control_count,other_count,representative_label,source_dictionary_state_ids
state=missing,MISSING,MISSING,,,missing,missing,,,80,34,46,0,MISSING,S000
band=16-31|R=18->14|front=near_exit_front|chain=avoid|k=4|res32=18->14,16-31,16-31,near_exit_front,avoid,near_exit_front|avoid,k_mid_3_5,2->14,18->14,76,38,38,0,16-31 | 18->14 | k4 | d2 | near | avoid | r16 2->14,S011
band=4-7|R=4->0|front=lower_edge_front|chain=caught|k=4|res32=4->0,4-7,4-7,lower_edge_front,caught,lower_edge_front|caught,k_mid_3_5,4->0,4->0,68,34,34,0,4-7 | 4->0 | k4 | d0 | lower | caught | r16 4->0,S016
band=8-15|R=9->4|front=lower_edge_front|chain=avoid|k=5|res32=9->4,8-15,8-15,lower_edge_front,avoid,lower_edge_front|avoid,k_mid_3_5,9->4,9->4,68,34,34,0,8-15 | 9->4 | k5 | d1 | lower | avoid | r16 9->4,S031
band=32-63|R=32->29|front=lower_edge_front|chain=avoid_then_caught|k=3|res32=0->29,32-63,32-63,lower_edge_front,avoid_then_caught,lower_edge_front|avoid_then_caught,k_mid_3_5,0->13,0->29,52,26,26,0,32-63 | 32->29 | k3 | d0 | lower | avoid_then_caught | r16 0->13,S012
band=64-127|R=64->63|front=lower_edge_front|chain=avoid_then_caught|k=1|res32=0->31,64-127,64-127,lower_edge_front,avoid_then_caught,lower_edge_front|avoid_then_caught,k_low_1_2,0->15,0->31,52,14,38,0,64-127 | 64->63 | k1 | d0 | lower | avoid_then_caught | r16 0->15,S017
band=4-7|R=4->0|front=lower_edge_front|chain=avoid_then_caught|k=4|res32=4->0,4-7,4-7,lower_edge_front,avoid_then_caught,lower_edge_front|avoid_then_caught,k_mid_3_5,4->0,4->0,32,16,16,0,4-7 | 4->0 | k4 | d0 | lower | avoid_then_caught | r16 4->0,S015
band=8-15|R=9->7|front=lower_edge_front|chain=avoid|k=2|res32=9->7,8-15,8-15,lower_edge_front,avoid,lower_edge_front|avoid,k_low_1_2,9->7,9->7,32,16,16,0,8-15 | 9->7 | k2 | d1 | lower | avoid | r16 9->7,S032
band=16-31|R=17->15|front=lower_edge_front|chain=avoid|k=2|res32=17->15,16-31,16-31,lower_edge_front,avoid,lower_edge_front|avoid,k_low_1_2,1->15,17->15,24,12,12,0,16-31 | 17->15 | k2 | d1 | lower | avoid | r16 1->15,S010
band=32-63|R=32->30|front=lower_edge_front|chain=avoid_then_caught|k=2|res32=0->30,32-63,32-63,lower_edge_front,avoid_then_caught,lower_edge_front|avoid_then_caught,k_low_1_2,0->14,0->30,24,12,12,0,32-63 | 32->30 | k2 | d0 | lower | avoid_then_caught | r16 0->14,S013
band=32-63|R=33->31|front=lower_edge_front|chain=avoid_then_caught|k=2|res32=1->31,32-63,32-63,lower_edge_front,avoid_then_caught,lower_edge_front|avoid_then_caught,k_low_1_2,1->15,1->31,24,12,12,0,32-63 | 33->31 | k2 | d1 | lower | avoid_then_caught | r16 1->15,S014
band=64-127|R=65->63|front=lower_edge_front|chain=avoid_then_caught|k=2|res32=1->31,64-127,64-127,lower_edge_front,avoid_then_caught,lower_edge_front|avoid_then_caught,k_low_1_2,1->15,1->31,12,0,12,0,64-127 | 65->63 | k2 | d1 | lower | avoid_then_caught | r16 1->15,S018
band=64-127|R=67->62|front=near_exit_front|chain=avoid_then_caught|k=5|res32=3->30,64-127,64-127,near_exit_front,avoid_then_caught,near_exit_front|avoid_then_caught,k_mid_3_5,3->14,3->30,10,10,0,0,64-127 | 67->62 | k5 | d3 | near | avoid_then_caught | r16 3->14,S021
band=64-127|R=70->63|front=near_exit_front|chain=avoid|k=7|res32=6->31,64-127,64-127,near_exit_front,avoid,near_exit_front|avoid,k_high_6_plus,6->15,6->31,6,6,0,0,64-127 | 70->63 | k7 | d6 | near | avoid | r16 6->15,S029
band=128-255|R=129->127|front=lower_edge_front|chain=caught|k=2|res32=1->31,128-255,128-255,lower_edge_front,caught,lower_edge_front|caught,k_low_1_2,1->15,1->31,4,0,4,0,128-255 | 129->127 | k2 | d1 | lower | caught | r16 1->15,S003
band=64-127|R=67->63|front=near_exit_front|chain=avoid_then_caught|k=4|res32=3->31,64-127,64-127,near_exit_front,avoid_then_caught,near_exit_front|avoid_then_caught,k_mid_3_5,3->15,3->31,4,4,0,0,64-127 | 67->63 | k4 | d3 | near | avoid_then_caught | r16 3->15,S023
band=128-255|R=131->126|front=near_exit_front|chain=avoid_then_caught|k=5|res32=3->30,128-255,128-255,near_exit_front,avoid_then_caught,near_exit_front|avoid_then_caught,k_mid_3_5,3->14,3->30,3,3,0,0,128-255 | 131->126 | k5 | d3 | near | avoid_then_caught | r16 3->14,S005
band=128-255|R=131->127|front=near_exit_front|chain=avoid_then_caught|k=4|res32=3->31,128-255,128-255,near_exit_front,avoid_then_caught,near_exit_front|avoid_then_caught,k_mid_3_5,3->15,3->31,3,3,0,0,128-255 | 131->127 | k4 | d3 | near | avoid_then_caught | r16 3->15,S006
band=128-255|R=133->127|front=near_exit_front|chain=avoid_then_caught|k=6|res32=5->31,128-255,128-255,near_exit_front,avoid_then_caught,near_exit_front|avoid_then_caught,k_high_6_plus,5->15,5->31,3,3,0,0,128-255 | 133->127 | k6 | d5 | near | avoid_then_caught | r16 5->15,S009
band=64-127|R=67->60|front=near_exit_front|chain=avoid_then_caught|k=7|res32=3->28,64-127,64-127,near_exit_front,avoid_then_caught,near_exit_front|avoid_then_caught,k_high_6_plus,3->12,3->28,3,3,0,0,64-127 | 67->60 | k7 | d3 | near | avoid_then_caught | r16 3->12,S019
band=64-127|R=68->61|front=near_exit_front|chain=avoid|k=7|res32=4->29,64-127,64-127,near_exit_front,avoid,near_exit_front|avoid,k_high_6_plus,4->13,4->29,3,3,0,0,64-127 | 68->61 | k7 | d4 | near | avoid | r16 4->13,S024
band=64-127|R=68->63|front=near_exit_front|chain=avoid|k=5|res32=4->31,64-127,64-127,near_exit_front,avoid,near_exit_front|avoid,k_mid_3_5,4->15,4->31,3,3,0,0,64-127 | 68->63 | k5 | d4 | near | avoid | r16 4->15,S026
band=128-255|R=131->127|front=near_exit_front|chain=caught|k=4|res32=3->31,128-255,128-255,near_exit_front,caught,near_exit_front|caught,k_mid_3_5,3->15,3->31,2,2,0,0,128-255 | 131->127 | k4 | d3 | near | caught | r16 3->15,S007
band=128-255|R=132->126|front=near_exit_front|chain=avoid_then_caught|k=6|res32=4->30,128-255,128-255,near_exit_front,avoid_then_caught,near_exit_front|avoid_then_caught,k_high_6_plus,4->14,4->30,2,2,0,0,128-255 | 132->126 | k6 | d4 | near | avoid_then_caught | r16 4->14,S008
band=64-127|R=68->62|front=near_exit_front|chain=avoid|k=6|res32=4->30,64-127,64-127,near_exit_front,avoid,near_exit_front|avoid,k_high_6_plus,4->14,4->30,2,2,0,0,64-127 | 68->62 | k6 | d4 | near | avoid | r16 4->14,S025
band=128-255|R=128->127|front=lower_edge_front|chain=caught|k=1|res32=0->31,128-255,128-255,lower_edge_front,caught,lower_edge_front|caught,k_low_1_2,0->15,0->31,1,1,0,0,128-255 | 128->127 | k1 | d0 | lower | caught | r16 0->15,S001
band=128-255|R=129->127|front=lower_edge_front|chain=avoid_then_caught|k=2|res32=1->31,128-255,128-255,lower_edge_front,avoid_then_caught,lower_edge_front|avoid_then_caught,k_low_1_2,1->15,1->31,1,1,0,0,128-255 | 129->127 | k2 | d1 | lower | avoid_then_caught | r16 1->15,S002
band=128-255|R=131->125|front=near_exit_front|chain=caught|k=6|res32=3->29,128-255,128-255,near_exit_front,caught,near_exit_front|caught,k_high_6_plus,3->13,3->29,1,1,0,0,128-255 | 131->125 | k6 | d3 | near | caught | r16 3->13,S004
band=64-127|R=67->61|front=near_exit_front|chain=avoid_then_caught|k=6|res32=3->29,64-127,64-127,near_exit_front,avoid_then_caught,near_exit_front|avoid_then_caught,k_high_6_plus,3->13,3->29,1,1,0,0,64-127 | 67->61 | k6 | d3 | near | avoid_then_caught | r16 3->13,S020
band=64-127|R=67->62|front=near_exit_front|chain=caught|k=5|res32=3->30,64-127,64-127,near_exit_front,caught,near_exit_front|caught,k_mid_3_5,3->14,3->30,1,1,0,0,64-127 | 67->62 | k5 | d3 | near | caught | r16 3->14,S022
band=64-127|R=69->61|front=near_exit_front|chain=avoid|k=8|res32=5->29,64-127,64-127,near_exit_front,avoid,near_exit_front|avoid,k_high_6_plus,5->13,5->29,1,1,0,0,64-127 | 69->61 | k8 | d5 | near | avoid | r16 5->13,S027
band=64-127|R=69->62|front=near_exit_front|chain=avoid|k=7|res32=5->30,64-127,64-127,near_exit_front,avoid,near_exit_front|avoid,k_high_6_plus,5->14,5->30,1,1,0,0,64-127 | 69->62 | k7 | d5 | near | avoid | r16 5->14,S028
band=64-127|R=71->62|front=near_exit_front|chain=avoid|k=9|res32=7->30,64-127,64-127,near_exit_front,avoid,near_exit_front|avoid,k_high_6_plus,7->14,7->30,1,1,0,0,64-127 | 71->62 | k9 | d7 | near | avoid | r16 7->14,S030
