transition_id,source_state_id,target_state_id,count,probability_from_source,source_band,target_band,median_R_before,median_R_after,median_transition_k,median_exit_distance,miss_count,control_count,label_mix,example_trajectory_ids
T0001,band=16-31|R=18->14|front=near_exit_front|chain=avoid|k=4|res32=18->14,band=8-15|R=9->4|front=lower_edge_front|chain=avoid|k=5|res32=9->4,68,0.894737,16-31,8-15,18.0,14.0,4.0,2.0,34,34,mixed,miss:2289|control:4551|miss:4578|control:4551|miss:4579|control:4551|miss:5152|control:4551|miss:50031|control:4551|miss:588592|control:4551
T0002,band=8-15|R=9->4|front=lower_edge_front|chain=avoid|k=5|res32=9->4,band=4-7|R=4->0|front=lower_edge_front|chain=caught|k=4|res32=4->0,68,1.0,8-15,4-7,9.0,4.0,5.0,1.0,34,34,mixed,miss:2289|control:4551|miss:4578|control:4551|miss:4579|control:4551|miss:5152|control:4551|miss:50031|control:4551|miss:588592|control:4551
T0003,band=32-63|R=32->29|front=lower_edge_front|chain=avoid_then_caught|k=3|res32=0->29,band=16-31|R=18->14|front=near_exit_front|chain=avoid|k=4|res32=18->14,52,1.0,32-63,16-31,32.0,29.0,3.0,0.0,26,26,mixed,miss:2289|control:4551|miss:4578|control:4551|miss:4579|control:4551|miss:5152|control:4551|miss:50031|control:4551|miss:588592|control:4551
T0004,band=64-127|R=64->63|front=lower_edge_front|chain=avoid_then_caught|k=1|res32=0->31,band=32-63|R=32->29|front=lower_edge_front|chain=avoid_then_caught|k=3|res32=0->29,40,0.769231,64-127,32-63,64.0,63.0,1.0,0.0,14,26,mixed,control:4551|control:4551|control:4551|control:4551|control:4551|control:4551|control:4551|control:4551|control:4551|control:4551|control:4551|control:4551
T0005,band=8-15|R=9->7|front=lower_edge_front|chain=avoid|k=2|res32=9->7,band=4-7|R=4->0|front=lower_edge_front|chain=avoid_then_caught|k=4|res32=4->0,32,1.0,8-15,4-7,9.0,7.0,2.0,1.0,16,16,mixed,miss:50296|control:618657|miss:50298|control:618657|miss:4771|control:618657|miss:50270|control:618657|miss:50271|control:618657|miss:452335|control:618657
T0006,band=16-31|R=17->15|front=lower_edge_front|chain=avoid|k=2|res32=17->15,band=8-15|R=9->7|front=lower_edge_front|chain=avoid|k=2|res32=9->7,24,1.0,16-31,8-15,17.0,15.0,2.0,1.0,12,12,mixed,miss:50296|control:618657|miss:50298|control:618657|miss:4771|control:618657|miss:50270|control:618657|miss:50271|control:618657|miss:452335|control:618657
T0007,band=32-63|R=32->30|front=lower_edge_front|chain=avoid_then_caught|k=2|res32=0->30,band=16-31|R=18->14|front=near_exit_front|chain=avoid|k=4|res32=18->14,24,1.0,32-63,16-31,32.0,30.0,2.0,0.0,12,12,mixed,miss:50114|control:555169|miss:50115|control:555169|miss:50130|control:555169|miss:50131|control:555169|miss:50139|control:555169|miss:468724|control:555169
T0008,band=32-63|R=33->31|front=lower_edge_front|chain=avoid_then_caught|k=2|res32=1->31,band=16-31|R=17->15|front=lower_edge_front|chain=avoid|k=2|res32=17->15,24,1.0,32-63,16-31,33.0,31.0,2.0,1.0,12,12,mixed,miss:50296|control:618657|miss:50298|control:618657|miss:4771|control:618657|miss:50270|control:618657|miss:50271|control:618657|miss:452335|control:618657
T0009,band=64-127|R=64->63|front=lower_edge_front|chain=avoid_then_caught|k=1|res32=0->31,band=32-63|R=32->30|front=lower_edge_front|chain=avoid_then_caught|k=2|res32=0->30,12,0.230769,64-127,32-63,64.0,63.0,1.0,0.0,0,12,control_only,control:555169|control:555169|control:555169|control:555169|control:555169|control:555169|control:555169|control:555169|control:50331|control:50331|control:50331|control:50331
T0010,band=64-127|R=65->63|front=lower_edge_front|chain=avoid_then_caught|k=2|res32=1->31,band=32-63|R=33->31|front=lower_edge_front|chain=avoid_then_caught|k=2|res32=1->31,12,1.0,64-127,32-63,65.0,63.0,2.0,1.0,0,12,control_only,control:618657|control:618657|control:618657|control:618657|control:618657|control:618657|control:618657|control:618657|control:618657|control:618657|control:618657|control:618657
T0011,band=16-31|R=18->14|front=near_exit_front|chain=avoid|k=4|res32=18->14,band=8-15|R=9->7|front=lower_edge_front|chain=avoid|k=2|res32=9->7,8,0.105263,16-31,8-15,18.0,14.0,4.0,2.0,4,4,mixed,miss:93260|control:50331|miss:373032|control:50331|miss:805887|control:50331|miss:981221|control:50331
T0012,band=64-127|R=67->62|front=near_exit_front|chain=avoid_then_caught|k=5|res32=3->30,band=32-63|R=32->30|front=lower_edge_front|chain=avoid_then_caught|k=2|res32=0->30,5,0.5,64-127,32-63,67,62,5,3,5,0,miss_only,miss:50139|miss:93260|miss:373032|miss:805887|miss:981221
T0013,band=128-255|R=129->127|front=lower_edge_front|chain=caught|k=2|res32=1->31,band=64-127|R=64->63|front=lower_edge_front|chain=avoid_then_caught|k=1|res32=0->31,4,1.0,128-255,64-127,129.0,127.0,2.0,1.0,0,4,control_only,control:50331|control:50331|control:50331|control:50331
T0014,band=128-255|R=131->126|front=near_exit_front|chain=avoid_then_caught|k=5|res32=3->30,band=64-127|R=64->63|front=lower_edge_front|chain=avoid_then_caught|k=1|res32=0->31,3,1.0,128-255,64-127,131,126,5,3,3,0,miss_only,miss:802015|miss:956887|miss:878747
T0015,band=128-255|R=131->127|front=near_exit_front|chain=avoid_then_caught|k=4|res32=3->31,band=64-127|R=64->63|front=lower_edge_front|chain=avoid_then_caught|k=1|res32=0->31,3,1.0,128-255,64-127,131,127,4,3,3,0,miss_only,miss:718402|miss:650801|miss:739108
T0016,band=128-255|R=133->127|front=near_exit_front|chain=avoid_then_caught|k=6|res32=5->31,band=64-127|R=64->63|front=lower_edge_front|chain=avoid_then_caught|k=1|res32=0->31,3,1.0,128-255,64-127,133,127,6,5,3,0,miss_only,miss:50041|miss:926647|miss:84447
T0017,band=64-127|R=67->62|front=near_exit_front|chain=avoid_then_caught|k=5|res32=3->30,band=32-63|R=33->31|front=lower_edge_front|chain=avoid_then_caught|k=2|res32=1->31,3,0.3,64-127,32-63,67,62,5,3,3,0,miss_only,miss:4771|miss:452335|miss:694878
T0018,band=64-127|R=68->61|front=near_exit_front|chain=avoid|k=7|res32=4->29,band=32-63|R=32->30|front=lower_edge_front|chain=avoid_then_caught|k=2|res32=0->30,3,1.0,64-127,32-63,68,61,7,4,3,0,miss_only,miss:50114|miss:50115|miss:468724
T0019,band=64-127|R=68->63|front=near_exit_front|chain=avoid|k=5|res32=4->31,band=32-63|R=32->29|front=lower_edge_front|chain=avoid_then_caught|k=3|res32=0->29,3,1.0,64-127,32-63,68,63,5,4,3,0,miss_only,miss:2289|miss:4578|miss:5152
T0020,band=64-127|R=70->63|front=near_exit_front|chain=avoid|k=7|res32=6->31,band=32-63|R=32->29|front=lower_edge_front|chain=avoid_then_caught|k=3|res32=0->29,3,0.5,64-127,32-63,70,63,7,6,3,0,miss_only,miss:4579|miss:588592|miss:61239
T0021,band=64-127|R=70->63|front=near_exit_front|chain=avoid|k=7|res32=6->31,band=32-63|R=33->31|front=lower_edge_front|chain=avoid_then_caught|k=2|res32=1->31,3,0.5,64-127,32-63,70,63,7,6,3,0,miss_only,miss:50270|miss:50271|miss:476655
T0022,band=128-255|R=131->127|front=near_exit_front|chain=caught|k=4|res32=3->31,band=64-127|R=64->63|front=lower_edge_front|chain=avoid_then_caught|k=1|res32=0->31,2,1.0,128-255,64-127,131.0,127.0,4.0,3.0,2,0,miss_only,miss:418097|miss:616906
T0023,band=128-255|R=132->126|front=near_exit_front|chain=avoid_then_caught|k=6|res32=4->30,band=64-127|R=64->63|front=lower_edge_front|chain=avoid_then_caught|k=1|res32=0->31,2,1.0,128-255,64-127,132.0,126.0,6.0,4.0,2,0,miss_only,miss:412366|miss:514873
